cod_municipio,municipio,uf_ibge,ano,valor_aprovado,qtd_aprovada,custo_medio
110002,ARIQUEMES,11,2015,84402.44,419.0,201.43780429594273
110004,CACOAL,11,2015,2847044.49,15884.0,179.2397689498867
110012,JI-PARANA,11,2015,3505359.31,19430.0,180.40964024704067
110020,PORTO VELHO,11,2015,6867118.95,37350.0,183.85860642570282
110030,VILHENA,11,2015,2230259.46,12476.0,178.76398364860532
120010,BRASILEIA,12,2015,0.0,0.0,
120020,CRUZEIRO DO SUL,12,2015,0.0,0.0,
120040,RIO BRANCO,12,2015,6253849.83,34953.0,178.9216899836924
130260,MANAUS,13,2015,19926790.52,108710.0,183.30227688345138
140010,BOA VISTA,14,2015,5112544.97,28705.0,178.10642640654936
150010,ABAETETUBA,15,2015,0.0,0.0,
150060,ALTAMIRA,15,2015,1963828.04,10875.0,180.5818887356322
150080,ANANINDEUA,15,2015,3424953.58,19012.0,180.14693772354303
150140,BELEM,15,2015,16859967.48,93536.0,180.2511063120082
150170,BRAGANCA,15,2015,1461733.27,8137.0,179.64031829912744
150180,BREVES,15,2015,0.0,0.0,
150220,CAPANEMA,15,2015,0.0,0.0,
150240,CASTANHAL,15,2015,4852983.02,26818.0,180.9599157282422
150360,ITAITUBA,15,2015,0.0,0.0,
150420,MARABA,15,2015,5441809.88,30017.0,181.2909311390212
150442,MARITUBA,15,2015,3162759.82,17631.0,179.3862979978447
150553,PARAUAPEBAS,15,2015,0.0,0.0,
150613,REDENCAO,15,2015,3497845.08,19185.0,182.32187021110244
150680,SANTAREM,15,2015,6266796.05,34970.0,179.20491993136974
150810,TUCURUI,15,2015,0.0,0.0,
150812,ULIANOPOLIS,15,2015,3435821.9,19050.0,180.35810498687664
160030,MACAPA,16,2015,5560671.8,31060.0,179.03
170210,ARAGUAINA,17,2015,3629858.85,19987.0,181.61098964326814
170950,GURUPI,17,2015,2860173.27,15916.0,179.70427682834884
172100,PALMAS,17,2015,4980870.27,27470.0,181.32035930105567
210005,ACAILANDIA,21,2015,0.0,0.0,
210120,BACABAL,21,2015,6118617.1,33631.0,181.93384377508846
210140,BALSAS,21,2015,0.0,0.0,
210160,BARRA DO CORDA,21,2015,0.0,0.0,
210300,CAXIAS,21,2015,9857035.55,53289.0,184.97317551464656
210320,CHAPADINHA,21,2015,0.0,0.0,
210330,CODO,21,2015,0.0,0.0,
210360,COROATA,21,2015,0.0,0.0,
210530,IMPERATRIZ,21,2015,10838501.84,59824.0,181.1731385397165
210820,PEDREIRAS,21,2015,3274346.84,18248.0,179.4359294169224
210860,PINHEIRO,21,2015,0.0,0.0,
210910,PRESIDENTE DUTRA,21,2015,0.0,0.0,
210990,SANTA INES,21,2015,0.0,0.0,
211130,SAO LUIS,21,2015,21472726.71,115785.0,185.4534413784169
211220,TIMON,21,2015,3034871.04,16774.0,180.92709192798378
220190,BOM JESUS,22,2015,636282.36,3547.0,179.38606146038904
220220,CAMPO MAIOR,22,2015,5963792.9,32886.0,181.34747004804478
220390,FLORIANO,22,2015,6880534.7,38365.0,179.34405578000784
220770,PARNAIBA,22,2015,3972940.16,21910.0,181.32999361022365
220800,PICOS,22,2015,7544927.59,40904.0,184.45451765108547
220840,PIRIPIRI,22,2015,0.0,0.0,
221060,SAO RAIMUNDO NONATO,22,2015,0.0,0.0,
221100,TERESINA,22,2015,22018676.09,121112.0,181.80424805139046
230190,BARBALHA,23,2015,5409155.91,30054.0,179.98123078458775
230210,BATURITE,23,2015,2567010.41,14278.0,179.7878141196246
230280,CANINDE,23,2015,5402398.82,29853.0,180.96669748433993
230350,CASCAVEL,23,2015,5679112.78,31257.0,181.69091019611608
230370,CAUCAIA,23,2015,7241386.19,39970.0,181.17053264948711
230410,CRATEUS,23,2015,0.0,0.0,
230420,CRATO,23,2015,6799877.6,37675.0,180.4877929661579
230428,EUSEBIO,23,2015,3672046.62,20454.0,179.52706658844235
230440,FORTALEZA,23,2015,45155136.62,246594.0,183.11530945602894
230523,HORIZONTE,23,2015,0.0,0.0,
230550,IGUATU,23,2015,3839348.77,21455.0,178.94890561640642
230640,ITAPIPOCA,23,2015,2933460.35,16163.0,181.4923188764462
230730,JUAZEIRO DO NORTE,23,2015,4125778.43,22693.0,181.80841801436566
230765,MARACANAU,23,2015,5808570.75,32019.0,181.41012367656703
231130,QUIXADA,23,2015,3011417.25,16374.0,183.91457493587396
231180,RUSSAS,23,2015,3507363.37,19346.0,181.2965662152383
231290,SOBRAL,23,2015,7663290.29,42750.0,179.2582523976608
231330,TAUA,23,2015,0.0,0.0,
231340,TIANGUA,23,2015,0.0,0.0,
240020,ASSU,24,2015,1866097.4,10430.0,178.91633748801533
